cartodb_id,the_geom,visibility,extrude,tessellate,icon,draworder,altitudemode,_end,begin,timestamp,description,name,lat,lng
38,,-1,-1,-1,,,,,,,,,40.427258,-3.675187
39,,-1,-1,-1,,,,,,,,,40.427447,-3.670665
40,,-1,-1,-1,,,,,,,,,40.426101,-3.673975
41,,-1,-1,-1,,,,,,,,,40.423123,-3.669437
42,,-1,-1,-1,,,,,,,,,40.421302,-3.672463
43,,-1,-1,-1,,,,,,,,,40.417912,-3.670979
108,,-1,-1,-1,,,,,,,,,40.419789,-3.701625
109,,-1,-1,-1,,,,,,,,,40.419778,-3.701574
110,,-1,-1,-1,,,,,,,,,40.42074,-3.699657
111,,-1,-1,-1,,,,,,,,,40.421902,-3.695418
112,,-1,-1,-1,,,,,,,,,40.419196,-3.695223
113,,-1,-1,-1,,,,,,,,,40.41922,-3.695063
114,,-1,-1,-1,,,,,,,,,40.418562,-3.693314
115,,-1,-1,-1,,,,,,,,,40.416248,-3.695817
116,,-1,-1,-1,,,,,,,,,40.416695,-3.689399
117,,-1,-1,-1,,,,,,,,,40.413279,-3.695601
118,,-1,-1,-1,,,,,,,,,40.412785,-3.691176
119,,-1,-1,-1,,,,,,,,,40.410824,-3.693138
120,,-1,-1,-1,,,,,,,,,40.410064,-3.688894
121,,-1,-1,-1,,,,,,,,,40.409571,-3.691978
122,,-1,-1,-1,,,,,,,,,40.407458,-3.690431
123,,-1,-1,-1,,,,,,,,,40.407649,-3.690705
124,,-1,-1,-1,,,,,,,,,40.408317,-3.693238
125,,-1,-1,-1,,,,,,,,,40.407728,-3.693601
126,,-1,-1,-1,,,,,,,,,40.406057,-3.69925
127,,-1,-1,-1,,,,,,,,,40.401842,-3.698614
128,,-1,-1,-1,,,,,,,,,40.403025,-3.694643
